key,en,fr,it,de,es,tr,tl,ru,ja,pt-br,tok,mis-edikan,mis-meow
GameFAQ.Q5.Answer,"You cannot make edits to the jam build of the game during the rating period apart from game breaking bug fixes and porting. (For example if you want to make a mac build during the rating period without changing anything about the game thats fine. If you have a bug that prevents someone from playing your game due to a crash that would be a game breaking bug and can be fixed).

You can make and post a post-jam version of the game during the rating period but the jam version of the game must be more prominent and you cannot trick people into playing the post-jam version of the game. You can use jampack to have 2 web builds on the same page.",,"Non puoi apportare modifiche alla build jam del gioco durante il periodo di valutazione, a parte per correzioni di bug che ne impediscono il funzionamento e per il porting. (Ad esempio, se vuoi creare una versione per Mac durante il periodo di valutazione senza cambiare nulla del gioco, va bene. Se hai un bug che impedisce a qualcuno di giocare a causa di un crash, questo sarebbe un bug che ne impedisce il funzionamento e può essere corretto).

Puoi creare e pubblicare una versione post-jam del gioco durante il periodo di valutazione, ma la versione della jam deve essere più evidente e non puoi indurre le persone a giocare alla versione post-jam del gioco. Puoi usare jampack per avere due versioni web sulla stessa pagina.",,,"Oyunu oynanamaz hale getiren ve bozan hataları düzeltebilirsiniz. Oyunun başka platformlara(linux,mac) portlama işini de daha sonra yapabilirsiniz.
Biz oyunlarınızın oynanabilir olmasını ve katıldığınız etkinlikten zevk almanızı istiyoruz, bu yüzden 3 gün uğraşıp hiç çalışmayan bir oyunla ortada kalmanızı istemiyoruz. 

Eğer oyununuza yeni özellikler eklemek istiyorsanız, bunları net bir şekilde sayfanıza changelog ekleyerek belirtip ekstra bir ""post jam versiyonu"" yükleyin.
İnsanlar iki versionu da deneyerek sizi değerlendirecektir.
Ayrıca jampack adlı uygulamayı kullanarak tek sayfada iki versiyon gösterebilirsiniz.",,"Вы не можете вносить изменения в джем-версию игры во время периода оценки, за исключением исправления критических багов и портирования. (Например, если вы хотите сделать сборку для macOS во время периода оценки, не меняя ничего в самой игре — это допустимо. Если у вас есть ошибка, которая мешает кому-то запустить игру из-за вылета — это критический баг, и его можно исправить).

Вы можете создать и опубликовать пост-джем версию игры во время периода оценки, но джем-версия должна быть более заметной, и вы не можете обманывать игроков, заставляя их запускать пост-джем версию вместо джем-версии. Вы можете использовать jampack, чтобы разместить 2 веб-сборки на одной странице.",,"Você não pode editar o executável do jogo durante o período de avaliação exceto para arrumar erros que destroem o jogo ou para portabilidade. (Por exemplo se você quer fazer um executável para o mac durante o período de votação sem mudar algo sobre o jogo. Se você tem um erro que impede alguém de jogar seu jogo por causa de um crash isso seria considerado um erro que destrói o jogo e pode ser arrumado).

Você pode fazer uma versão pós-jam do jogo durante o período de avaliação mas a versão do jam do jogo deve ser mais proeminente e você não pode manipular pessoas a jogar a versão pós-jam do jogo. Você pode usar jampack para ter 2 executáveis web na mesma página.",,,"Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. (meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow).

Meow meow meow meow meow meow meow-meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow-meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow."
GameFAQ.Q6.Number,Q6,,D6,,,S6,,В6,,P6,,,Meow
GameFAQ.Q6.Question,What happens if I don't submit before the end of the jam,,Cosa succede se non consegno prima della fine della jam?,,,Eğer oyunumu jam bittiğinde yükleyemezsem ne olur?,,"Что случится, если я не подам игру к концу джема?",,O que acontece se eu não mandar meu jogo antes do fim do jam?,,,Meow meow meow meow meow'meow meow meow meow meow meow meow meow
GameFAQ.Q6.Answer,There is a 2 hour window after the jam ends that you can still upload a game within in order to catch any people that might be having last minute issues with builds. This is meant to be a period to upload within rather than work on the game more within and attempts to submit after the 2 hour submission window will not be accepted.,,"C'è una finestra di 2 ore dopo la fine della jam in cui puoi ancora caricare un gioco, per aiutare chi potrebbe avere problemi dell'ultimo minuto con le versioni. Questo periodo è pensato per il caricamento piuttosto che per continuare a lavorare sul gioco e i tentativi di consegna dopo la finestra di 2 ore non saranno accettati.",,,"Jam bittikten sonra 2 saatlik bir penceremiz var. Son dakika build yaratırken sıkıntı yaşayan katılımcılar için düşündüğümüz bir pencere bu.
Bu süre oyuna yeni şeyler eklemenizdense, oyunu çalışır hale getirmek ve bir yere yükleyebilmeniz için verilen bir süredir.",,"После окончания джема есть 2-х часовое окно, в течение которого вы всё ещё можете загрузить игру, чтобы учесть тех, у кого возникли проблемы со сборками в последний момент. Этот период предназначен именно для загрузки, а не для дальнейшей доработки игры, и попытки отправить игру после 2-х часового окна приёма работ приниматься не будут.",,Há um período de 2 horas após o fim do jam que você pode mandar seu jogo para ajudar qualquer pessoa que teve problemas de última hora na compilação do jogo. Esse período é feito para mandar seu jogo em vez de trabalhar mais no seu jogo e tentativas de mandar o jogo após o período de duas horas não serão aceitas.,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.
GameFAQ.Q7.Number,Q7,,D7,,,S7,,В7,,P7,,,Meow
GameFAQ.Q7.Question,Can I edit the game page during the rating period?,,Posso modificare la pagina del gioco durante il periodo di valutazione?,,,Oyun sayfasını oylama sırasında değiştirebilir miyim?,,Могу ли я редактировать игровую страницу во время Рейтингового Периода?,,Posso editar a página do jogo durante o período de votação?,,,Meow meow meow meow meow meow meow meow meow meow?
GameFAQ.Q7.Answer,"Yes you can edit the game page and make marketing materials (e.g. a game trailer, advertising for your game) within the rating period. The sooner you make it the more people would end up seeing your game page changes though.",,"Sì, puoi modificare la pagina del gioco e creare materiali di marketing (ad esempio, un trailer del gioco, pubblicità per il tuo gioco) durante il periodo di valutazione. Prima lo fai, più persone vedranno le modifiche alla tua pagina del gioco.",,,"Evet, oyun sayfanızı değiştirebilir, trailer veya resim gibi materyaller ekleyebilirsiniz. 
Bu işi ne kadar erken yaparsanız diğer insanların daha düzgün bir sayfayla karşılaşma ihtimalini artırırsınız.",,"Да, вы можете редактировать страницу игры и создавать маркетинговые материалы (например, трейлер игры, рекламу вашей игры) в течение периода оценки. Однако чем раньше вы это сделаете, тем больше людей увидят изменения на вашей странице игры.",,"Sim, você pode editar a página do jogo e fazer materiais de marketing (por exemplo, um trailer para o jogo, anúncios para seu jogo) durante o período de votação. Entretanto, quanto mais cedo fizer, mais pessoas verão as mudanças da página",,,"Meow meow meow meow meow meow meow meow meow meow meow (meow.meow. Meow meow meow, meow meow meow meow) meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow."
GameFAQ.Q8.Number,Q8,,D8,,,S8,,В8,,P8,,,Meow
GameFAQ.Q8.Question,"Are there restrictions on game content (NSFW, extreme violence, etc.)?",,"Ci sono restrizioni sui contenuti del gioco (NSFW, violenza estrema, ecc.)?",,,"Oyun içerikleri konusunda bir kısıtlama var mıdır?(NSFW, aşırı vahşet,vb...)",,"Есть ли ограничения на игровой контент (NSFW, экстремальное насилие и т.д.)?",,"Há restrições sobre o conteúdo do jogo (NSFW, violência extrema, etc.)?",,,"Meow meow meow meow meow meow (meow, meow meow, meow.)?"
GameFAQ.Q8.Answer,If you include things such as NSFW content you must mark your game as containing it so anybody who does not want to see that content can filter it out.,,"Se includi contenuti come NSFW, devi contrassegnare il tuo gioco come tale in modo che chi non vuole vedere quel tipo di contenuto possa filtrarlo.",,,"Oyununuz NSFW gibi içeriklere sahipse oyunu bu şekilde işaretlemeniz gerekir. 
Böylece başkaları bu oyunları görmek istemiyorsa oyun onlara gösterilmez.",,"Если вы включаете материалы для взрослых (NSFW), вы должны отметить игру соответствующим образом, чтобы те, кто не хочет видеть такой контент, могли его отфильтровать.",,"Se você incluir coisas como conteúdo NSFW, você deve marcar seu jogo como contendo isso, assim qualquer pessoa que não quer ver esse conteúdo pode removê-lo com o filtro.",,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.
GameFAQ.Q9.Number,Q9,,D9,,,S9,,В9,,P9,,,Meow
GameFAQ.Q9.Question,What operating systems do I need to make my game for?,,Per quali sistemi operativi devo creare il mio gioco?,,,Oyunum hangi işletim sistemlerinde çalışmalıdır?,,Для каких операционных систем нужно делать игру?,,Para quais sistemas operacionais eu preciso fazer meu jogo?,,,Meow meow meow meow meow meow meow meow meow meow meow?
GameFAQ.Q9.Answer,Any operating systems you want. Note however that the more you support the more people are able to play your game. In addition supporting windows or having a web build is recommended as that allows the vast majority of people to play your game.,,"Per qualsiasi sistema operativo tu voglia. Nota, tuttavia, che più sistemi supporti, più persone potranno giocare al tuo gioco. Inoltre, supportare Windows o avere una versione web è consigliato in quanto permette alla stragrande maggioranza delle persone di giocare al tuo gioco.",,,"Hangi işletim sistemini istiyorsan onda çalışmalıdır. Ancak bilmelisiniz ki, ne kadar çok işletim sistemi destekleyebilirseniz o kadar insan oyununuzu oynayabilir.
Windows'u desteklemenin yanı sıra bir Web Build'e sahip olmanız en geniş kitleye ulaşabilmenizi sağlar.",,"Вы можете выбрать любые операционные системы. Однако имейте в виду: чем больше систем вы поддерживаете, тем больше людей сможет сыграть в вашу игру. Кроме того, рекомендуется поддержка Windows или наличие Web-билда, т.к. это позволит подавляющему большинству людей запустить вашу игру.",,"Qualquer sistema operacional você quiser. Lembre que quanto mais sistemas operacionais seu jogo pode ser jogado, mais pessoas poderão jogar seu jogo. Ademais, apoiar Windows ou ter uma versão Web é recomendado pois a maioria da pessoas poderão jogar seu jogo.",,,Meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.
GameFAQ.Q10.Number,Q10,,D10,,,S10,,В10,,P10,,,Meow
GameFAQ.Q10.Question,"Is there limitations on what game engine, etc. I can use?",,"Ci sono limitazioni su quale motore di gioco, ecc. posso usare?",,,Hangi oyun motorunu veya framework'ü kullanabilmemiz konusunda bir kısıtlama var mıdır?,,Есть ли ограничения на игровой движок и т.д. который я могу использовать?,,"Há alguma restrição sobre qual motor gráfico, etc. eu posso usar?",,,"Meow meow meow meow meow meow meow, meow. Meow meow meow?"
GameFAQ.Q10.Answer,You can use whatever you want to make the game as long as it does not require the people playing the game to download something other than the game itself. For example games on roblox would not be allowed as that requires people to download roblox instead of downloading the game itself.,,"Puoi usare qualsiasi cosa tu voglia per creare il gioco, a patto che non richieda a chi gioca di scaricare qualcosa di diverso dal gioco stesso. Ad esempio, i giochi su Roblox non sarebbero consentiti, in quanto richiedono alle persone di scaricare Roblox invece di scaricare il gioco stesso.",,,"Kullanıcılar oyunun sadece kendisini indirmesi gerektiği sürece istediğiniz oyun motorunda oyunu yapabilirsiniz.
Örnek olarak bir Roblox oyunu Roblox indirmenizi gerektireceği için bu oyun geçerli olmayacaktır.",,"Вы можете использовать всё, что угодно для создания игры, при условии, что игрокам не потребуется загружать что-то кроме самой игры. Например, игры на Roblox не допускаются, так как для них требуется загрузка Roblox вместо загрузки самой игры.",,"Você pode usar qualquer motor gráfico você quiser para fazer o jogo, porém ele não demanda que as pessoas baixem outra coisa que não seja o próprio jogo para jogar. Por exemplo, jogos no Roblox não são permitidos pois necessita das pessoas baixarem o Roblox em vez do jogo em si.",,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.
TeamFAQ.Title,Team FAQ,,FAQ sui Team,,,Takım S.S.S,,ФАГ по Команде,,Perguntas Frequentes Sobre Time,,,Meow meow
TeamFAQ.Description,Questions relating to making a team for the jam,,Domande relative alla creazione di team per la jam,,,Jam için takım oluşturma hakkında sorular,,Вопросы касающиеся создания команды на джем,,Perguntas sobre a criação de um time para o jam,,,Meow meow meow meow meow meow meow meow meow
TeamFAQ.Q1.Number,Q1,,D1,,,S1,,В1,,P1,,,Meow
TeamFAQ.Q1.Question,How many people can make the game?,,Quante persone possono creare un gioco?,,,Oyunu kaç kişiyle beraber yapabilirim?,,Как много людей может участвовать в разработке игры?,,Quantas pessoas podem fazer um jogo?,,,Meow meow meow meow meow meow meow?
TeamFAQ.Q1.Answer,"Regular: Any number of people.
O.D.A: Only one developer.",,"Regular: Un numero qualsiasi di persone.
O.D.A: Un solo sviluppatore.",,,"Normal Jam: İstediğin kadar kişiyle.
O.D.A: Tek kişi.",,"Regular: Любое количество людей
O.D.A: Только один разработчик",,"Regular: Qualquer quantidade de pessoas.
E.U.D: Apenas um desenvolvedor.",,,"Meow: meow meow meow meow.
Meow.meow.meow: meow meow meow."
TeamFAQ.Q2.Number,Q2,,D2,,,S2,,В2,,P2,,,Meow
TeamFAQ.Q2.Question,Can I be a part of multiple teams / make multiple games?,,Posso far parte di più team / creare più giochi?,,,Birden fazla takımda / oyunda yer alabilir miyim?,,Могу ли я быть частью нескольких команд / сделать несколько игр?,,Posso fazer parte de múltiplos times / fazer múltiplos jogos?,,,Meow meow meow meow meow meow meow meow / meow meow meow?
TeamFAQ.Q2.Answer,Yes. It is typically better to focus on one game though so you can give it a higher level of polish within the limited timeframe.,,"Sì. Tuttavia, è solitamente meglio concentrarsi su un solo gioco per poterlo curare maggiormente e renderlo più rifinito nel tempo limitato.",,,Evet ancak tek oyuna odaklanırsanız onu cilalayacak daha çok zamanınız olur.,,"Да. Однако обычно лучше сосредоточиться на одной игре, чтобы успеть придать ей более высокий уровень проработки в ограниченные сроки.",,"Sim. Tipicamente, é melhor focar em um jogo para que você tenha um alto nível de polimento dentro do tempo limite.",,,Meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.
TeamFAQ.Q3.Number,Q3,,D3,,,S3,,В3,,P3,,,Meow
TeamFAQ.Q3.Question,How can I find a team?,,Come posso trovare un team?,,,Nasıl takım bulabilirim?,,Как мне найти команду?,,Como posso achar um time?,,,Meow meow meow meow meow meow?
TeamFAQ.Q3.Answer,"We have a team finder built into the site you can use to find a team on. In the site settings you can set what roles you have on a team and then in the team finder you can limit results to only show teams that need your role.
In addition you can use other locations such as on social media or in the team finding channel on our discord server.",,"Abbiamo una funzione integrata per trovare team sul sito. Nelle impostazioni del tuo account, puoi specificare i ruoli che ricopri in un team e, nella funzione di ricerca team, puoi limitare i risultati per mostrare solo i team che cercano il tuo ruolo. Inoltre, puoi usare altri canali come i social media o il canale di ricerca team sul nostro server Discord.",,,"Takım bulabilmeniz için siteye Takım Bulucu sayfasını ekledik. Bu sayfada takımınızda hangi roller olduğunu belirtebilir ve ne aradığınızı girebilirsiniz.
Bunun dışında sosyal medyaları veya discord sunucumuzun takım bulma kanalını deneyebilirsiniz.",,"На сайте есть встроенный инструмент для поиска команды, которым вы можете воспользоваться. В настройках сайта можно указать, какие роли вы можете выполнять в команде, а в поиске команд можно ограничить результаты так, чтобы отображались только команды, которым нужна ваша роль.

Кроме того, вы можете искать команды в других местах, например, в социальных сетях или в канале поиска команд на нашем сервере Discord.",,"Nós temos um procurador de time dentro do site que você pode usar para achar um time.
Nas configurações do site, você pode colocar seu papel no time e então, no procurador de time, limitar resultados para times que precisam de você.
Além disso, você pode usar outros locais como redes sociais ou no canal de procura de time no nosso servidor do discord.",,,"Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.
Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow."
TeamFAQ.Q4.Number,Q4,,D4,,,S4,,В4,,,,,Meow
TeamFAQ.Q4.Question,Can I edit a team during the jam / after submission?,,Posso modificare un team durante la jam / dopo la consegna?,,,Takımımı jam sırasında ve sonrasında güncelleyebilir miyim?,,Могу ли я редактировать команду во время / после подачи игры?,,,,,Meow meow meow meow meow meow meow meow / meow meow?
TeamFAQ.Q4.Answer,Yes you can edit teams at any time before the rating period ends. So if you forgot to add a teammate before the jam ended and they want to be able to contribute to the rankings you can invite them into the team during the rating period.,,"Sì, puoi modificare i team in qualsiasi momento prima della fine del periodo di valutazione. Quindi, se hai dimenticato di aggiungere un compagno di squadra prima che la jam finisse e vuoi che possa contribuire alle classifiche, puoi invitarlo a unirsi al team durante il periodo di valutazione.",,,"Evet oylama periodu bitmeden önce takımınızı güncelleyebilirsiniz. Yani jam sırasında bir takım arkadaşınızı eklemeyi unuttuysanız, oylama süresi boyunca da bunu yapabilirsiniz.",,"Да, вы можете редактировать состав команд в любое время до окончания периода оценки. То есть, если вы забыли добавить участника команды до окончания джема, и он хочет иметь возможность участвовать в рейтинге, вы можете пригласить его в команду в течение периода оценки.",,,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.
TeamFAQ.Q5.Number,Q5,,D5,,,S5,,В5,,,,,Meow
TeamFAQ.Q5.Question,Does every team member need an account on the site?,,Ogni membro del team ha bisogno di un account sul sito?,,,Bütün takım üyelerinin sayfada bir hesabı olması lazım mıdır?,,Нужен ли каждому члену команды аккаунт на сайте?,,,,,Meow meow meow meow meow meow meow meow meow meow?
TeamFAQ.Q5.Answer,No but they cannot rate games or be credited directly in the site UI without an account.,,"No, ma senza un account non possono votare i giochi o essere accreditati direttamente nell'interfaccia del sito.",,,Hayır ama eğer hesapları yoksa diğer oyunları oylayamazlar ve oyununuzun altında kredi alamazlar,,"Нет, но без аккаунта они не смогут оценивать игры и не будут отображаться в интерфейсе сайта напрямую.",,,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.
RatingsFAQ.Title,Ratings FAQ,,FAQ sulla Valutazione,,,Oylama S.S.S,,ФАГ по Рейтингу,,,,,Meow meow
RatingsFAQ.Description,Questions relating to the rating period of the jam,,Domande relative al periodo di valutazione della jam,,,Jam'in oylama süreci hakkında sorular,,Вопросы касающиеся рейтингового периода джема,,,,,Meow meow meow meow meow meow meow meow meow
RatingsFAQ.Q1.Number,Q1,,D1,,,S1,,В1,,,,,Meow
RatingsFAQ.Q1.Question,How are games rated?,,Come vengono valutati i giochi?,,,Oyunlar nasıl oylanır?,,Как игры оцениваются?,,,,,Meow meow meow meow?
RatingsFAQ.Q1.Answer,"Games are rated by other participants in the following categories:

- OVERALL: Your overall opinion of the game, how well all the categories are sticking together.
- GAMEPLAY: How much you enjoy playing the game, and how satisfying the mechanics are.
- AUDIO: How good the game sounds, or how effective the sound design is.
- GRAPHICS: How good the game looks, and how effective the visual style is.
- CREATIVITY: Uniqueness, Originality, Innovation, and the surprise element.
- EMOTIONAL DELIVERY: How effectively the emotional or humorous elements are delivered.
- THEME: The game’s take on the theme, and how well it was used and executed.",,"I giochi vengono valutati dagli altri partecipanti nelle seguenti categorie:

- GENERALE: La tua opinione complessiva sul gioco, quanto bene tutte le categorie si fondono tra loro.
- GAMEPLAY: Quanto ti diverti a giocare e quanto sono soddisfacenti le meccaniche.
- AUDIO: Quanto è buono il suono di gioco o quanto è efficace il sound design.
- GRAFICA: Quanto è bello il gioco visivamente e quanto è efficace lo stile visivo.
- CREATIVITÀ: Unicità, Originalità, Innovazione ed elemento sorpresa.
- IMPATTO EMOTIVO: Quanto sono efficaci gli elementi emozionali o umoristici.
- TEMA: L'interpretazione del tema da parte del gioco e quanto bene è stato utilizzato e messo in pratica.",,,"Oyunlar diğer katılımcılar tarafından şu kategorilerde değerlendirilir:

-GENEL: Oyunun genel değerlendirmesi, tüm kategorilerin ne kadar iyi bir araya geldiği.
- OYNANIŞ: Oyunu oynarken ne kadar eğlendiğiniz ve mekaniklerin ne kadar tatmin edici olduğu.
- SES: Oyunun ses kalitesi veya ses tasarımının ne kadar etkili olduğu.
- GRAFİK: Oyunun görsel kalitesi ve görsel stilinin ne kadar başarılı olduğu.
- YARATICILIK: Benzersizlik, özgünlük, yenilik ve sürpriz unsuru.
- DUYGUSAL AKTARIM: Duygusal(üzüntü,korku,vb...) veya mizahi unsurların ne kadar başarılı bir şekilde aktarıldığı.
- TEMA: Oyunun temayı ele alış biçimi ve temanın ne kadar iyi kullanılıp uygulandığı.",,"Игры оцениваются другими участниками по следующим категориям:

ОБЩАЯ ОЦЕНКА: Ваше общее мнение о игре, насколько хорошо все категории сочетаются друг с другом.

ГЕЙМПЛЕЙ: Насколько вам нравится играть в игру и насколько удовлетворительны её механики.

АУДИО: Насколько хорошо звучит игра и насколько эффективен саунд-дизайн.

ГРАФИКА: Насколько хорошо выглядит игра и насколько эффективен визуальный стиль.

КРЕАТИВНОСТЬ: Уникальность, оригинальность, новаторство и элемент неожиданности.

ЭМОЦИОНАЛЬНАЯ ПОДАЧА: Насколько эффективно переданы эмоциональные или юмористические элементы.

ТЕМА: Интерпретация темы в игре и насколько хорошо она использована и реализована.",,,,,"Meow meow meow meow meow meow meow meow meow meow:

- meow: meow meow meow meow meow meow, meow meow meow meow meow meow meow meow.
- meow: meow meow meow meow meow meow meow, meow meow meow meow meow meow.
- meow: meow meow meow meow meow, meow meow meow meow meow meow meow.
- meow: meow meow meow meow meow, meow meow meow meow meow meow meow.
- meow: meow, meow, meow, meow meow meow meow.
- meow meow: meow meow meow meow meow meow meow meow meow.
- meow: meow meow’meow meow meow meow meow, meow meow meow meow meow meow meow meow."
RatingsFAQ.Q2.Number,Q2,,D2,,,S2,,В2,,,,,Meow
RatingsFAQ.Q2.Question,Can I opt out of receiving ratings for any category?,,Posso scegliere di non ricevere valutazioni per una categoria?,,,Herhangi bir kategoride oy almaktan çekilebilir miyim?,,Могу ли я исключить себя из любой категории на рейтинг?,,,,,Meow meow meow meow meow meow meow meow meow meow?
RatingsFAQ.Q2.Answer,Only the Overall and Theme ratings will be initially opted in and cannot be opted out. You must select and opt-in to any other rating category you wish to be rated and/or compete in.,,Solo le valutazioni Generale e Tema sono attivate all'inizio e non possono essere disattivate. Devi selezionare e attivare qualsiasi altra categoria di valutazione in cui desideri essere valutato e/o competere.,,,"Sadece ""Genel"" ve ""Tema"" kategorileri otomatik olarak seçili başlar.
Oyunu yaratırken yarışmak istediğiniz diğer kategorileri seçerek eklemeniz gerekir.",,"Изначально активной будут только категория рейтинга Общая Оценка и Тема, от которых нельзя отказаться. Вы должны выбрать и подключить любые другие категории оценок, в которых хотите участвовать и/или состязаться.",,,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow-meow meow meow meow meow meow meow meow meow meow meow meow/meow meow meow.
RatingsFAQ.Q3.Number,Q3,,D3,,,S3,,В3,,,,,Meow
RatingsFAQ.Q3.Question,Can people who did not participate rate games?,,Le persone che non hanno partecipato possono votare i giochi?,,,Jam'e katılmamış kişiler oyunları oylayabilir mi?,,"Могу ли люди, которые не участвовали - оценивать игры?",,,,,Meow meow meow meow meow meow meow meow?
RatingsFAQ.Q3.Answer,Yes but any ratings they give do not contribute to the rankings.,,"Sì, ma le votazioni che danno non contribuiscono alle classifiche.",,,"Evet ama bu oylar oyunun derecelendirmesine yansımaz.
Bu oylarla birlikte tüm oyların derecesi ayrı gösterilir.",,"Да, но любые оценки, которые они дают не будут влиять на рейтинг.",,,,,Meow meow meow meow meow meow meow meow meow meow meow meow.
RatingsFAQ.Q4.Number,Q4,,D4,,,S4,,В4,,,,,Meow
RatingsFAQ.Q4.Question,What are the rankings?,,Cosa sono le classifiche?,,,Derecelendirmeler nedir?,,Что такое рейтинги?,,,,,Meow meow meow meow?
RatingsFAQ.Q4.Answer,After the rating period games will be ranked in each category based on their average rating in that category. For example the game with the highest average theme score will be rank #1 in the theme category.,,"Dopo il periodo di valutazione, i giochi saranno classificati in ogni categoria in base al loro punteggio medio in quella categoria. Ad esempio, il gioco con il punteggio medio più alto nella categoria ""Tema"" sarà al primo posto in quella categoria.",,,"Oylama süreci sonunda oyunlar her bir kategori altında oylarına bakılarak derecelendirilir.
Mesela Tema kategorisinde en yüksek puanı almış oyun o kategorinin birincisi olacaktır.
",,"После периода оценки игры будут ранжироваться в каждой категории на основе их среднего балла в этой категории. Например, игра с наивысшим средним баллом за тему займёт 1-е место в категории «Тема».",,,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow #meow meow meow meow meow.
RatingsFAQ.Q5.Number,Q5,,D5,,,S5,,В5,,,,,Meow
RatingsFAQ.Q5.Question,How many ratings do I need to give/receive to be included in the rankings,,Quante valutazioni devo dare/ricevere per essere incluso nelle classifiche?,,,Derecelendirmeye girebilmek için oyunumun kaç oy alması gerekiyor?,,"Как много оценок мне нужно дать / получить, чтобы самому попасть в рейтинги?",,,,,Meow meow meow meow meow meow meow meow/meow meow meow meow meow meow meow
RatingsFAQ.Q5.Answer,For the current edition of the jam you need to both rate 5 games and receive 5 ratings. This prevents a game with only 1 5 star rating from instantly winning the jam.,,"Per l'edizione attuale della jam, devi sia votare 5 giochi sia ricevere 5 votazioni. Questo impedisce a un gioco con una sola votazione da 5 stelle di vincere immediatamente la jam.",,,"Şu anki jam için en az 5 oyun oylayıp, oyununuzun da en az 5 oy alması gerekmektedir.
Bu yaklaşım, sadece 1 kişi tarafından oylanan bir oyunun jam'i kazanmasını engeller.",,"Для текущего издания джема вам нужно оценить 5 игр и получить 5 оценок. Это предотвращает ситуацию, когда игра с одними пятёрками сразу выигрывает джем.",,,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.
RatingsFAQ.Q6.Number,Q6,,D6,,,S6,,В6,,,,,Meow
RatingsFAQ.Q6.Question,Does this jam have a prize?,,Questa jam ha un premio?,,,Jam'in bir ödülü var mıdır?,,Есть ли у джема вознаграждение?,,,,,Meow meow meow meow meow meow?
RatingsFAQ.Q6.Answer,The prize is having a game that you've managed to build and release. Theres nothing like a cash prize so the jam has more of a community feel instead of becoming competitive.,,"Il premio è avere un gioco che sei riuscito a creare e pubblicare. Non c'è un premio in denaro, quindi la jam ha un'atmosfera più comunitaria che competitiva.",,,"Ödül, bir oyun yapabilmiş ve yayınlamış olmanızdır. 
Herhangi bir para ödülü bulunmamaktadır. Böylece jam'de birbirini yenmeye çalışma yerine daha çok topluluk hissiyatı olur.",,"Призом является сама игра, которую вы смогли создать и выпустить. Денежного приза нет, чтобы джем сохранял больше сообщественный дух и не превращался в соревнование.",,,,,Meow meow meow meow meow meow meow meow'meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.
StreamsFAQ.Title,Streams FAQ,,FAQ sugli Stream,,,Yayınlar S.S.S,,ФАГ по Стримам,,Perguntas Frequentes Sobre Transmissões,,,Meow meow
StreamsFAQ.Description,Questions relating to livestreaming the jam,,Domande relative alle dirette streaming della jam,,,Canlı yayınlar hakkında sorular,,Вопросы касающиеся стримов джема,,Perguntas sobre a transmissão do jam,,,Meow meow meow meow meow meow
StreamsFAQ.Q1.Number,Q1,,D1,,,S1,,В1,,P1,,,Meow
StreamsFAQ.Q1.Question,Can I livestream the jam?,,Posso fare live streaming della jam?,,,Jam sırasında canlı yayın açabilir miyim?,,Могу ли я стримить джем?,,Posso transmitir o jam?,,,Meow meow meow meow meow?
